operation,c2c_super_admin,c2c_viewer,c2c_client_viewer,c2c_client_admin,c2c_est_viewer,c2c_est_admin,c2c_pricing_viewer,c2c_pricing_admin,c2c_sow_viewer,c2c_sow_admin,c2c_milestone_viewer,c2c_milestone_admin,c2c_po_viewer,c2c_po_admin,c2c_allocation_viewer,c2c_allocation_admin,c2c_invoice_viewer,c2c_invoice_admin
client_create,TRUE,,,TRUE,,,,,,,,,,,,,,
client_read,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_update,TRUE,,,TRUE,,,,,,,,,,,,,,
client_delete,TRUE,,,TRUE,,,,,,,,,,,,,,
estimation_create,TRUE,,,,,TRUE,,,,,,,,,,,,
estimation_read,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,,,
estimation_update,TRUE,,,,,TRUE,,,,,,,,,,,,
estimation_delete,TRUE,,,,,TRUE,,,,,,,,,,,,
pricing_create,TRUE,,,,,,,TRUE,,,,,,,,,,
pricing_read,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,
pricing_update,TRUE,,,,,,,TRUE,,,,,,,,,,
pricing_delete,TRUE,,,,,,,TRUE,,,,,,,,,,
contract_create,TRUE,,,,,,,,,TRUE,,,,,,,,
contract_read,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,,,
contract_update,TRUE,,,,,,,,,TRUE,,,,,,,,
contract_delete,TRUE,,,,,,,,,TRUE,,,,,,,,
milestone_create,TRUE,,,,,,,,,,,TRUE,,,,,,
milestone_read,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,
milestone_update,TRUE,,,,,,,,,,,TRUE,,,,,,
milestone_delete,TRUE,,,,,,,,,,,TRUE,,,,,,
purchase_order_create,TRUE,,,,,,,,,,,,,TRUE,,,,
purchase_order_read,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,,,,
purchase_order_update,TRUE,,,,,,,,,,,,,TRUE,,,,
purchase_order_delete,TRUE,,,,,,,,,,,,,TRUE,,,,
allocation_create,TRUE,,,,,,,,,,,,,,,TRUE,,
allocation_read,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,,
allocation_update,TRUE,,,,,,,,,,,,,,,TRUE,,
allocation_delete,TRUE,,,,,,,,,,,,,,,TRUE,,
invoice_create,TRUE,,,,,,,,,,,,,,,,,TRUE
invoice_read,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE
invoice_update,TRUE,,,,,,,,,,,,,,,,,TRUE
invoice_delete,TRUE,,,,,,,,,,,,,,,,,TRUE